run,label_mode,merge_person_labels,min_clip_score,owl_threshold,posthoc_merge_person,stage,class,tp,pred,gt,precision,recall,iou
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,barrier,3565,20453,5072,0.1743020583777441,0.7028785488958991,0.16234061930783242
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,bicycle,0,0,10,,0.0,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,building,0,0,19685,,0.0,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,bus,0,0,8,,0.0,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,car,196,283,271,0.6925795053003534,0.7232472324723247,0.547486033519553
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,construction vehicle,0,737,32,0.0,0.0,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,pedestrian,864,10787,1558,0.08009641234819691,0.5545571245186136,0.07525476874836687
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,road,2067,4706,59005,0.43922651933701656,0.035030929582238794,0.03353124391668289
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,sidewalk,0,0,2277,,0.0,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,traffic cone,67,1972,104,0.03397565922920893,0.6442307692307693,0.03334992533598805
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,trailer,0,6725,0,0.0,,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,truck,4006,6706,16239,0.5973754846406203,0.24669006712235975,0.21152119964095253
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,box,vegetation,0,0,16345,,0.0,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,barrier,3456,12758,5072,0.2708888540523593,0.6813880126182965,0.24043411715597607
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,bicycle,0,0,10,,0.0,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,building,0,0,19685,,0.0,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,bus,0,0,8,,0.0,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,car,190,227,271,0.8370044052863436,0.7011070110701108,0.6168831168831169
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,construction vehicle,0,457,32,0.0,0.0,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,motorcycle,0,4,0,0.0,,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,pedestrian,774,6327,1558,0.12233285917496443,0.496790757381258,0.10884545071016735
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,road,1987,2928,59005,0.6786202185792349,0.03367511227862045,0.03314649851533046
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,sidewalk,0,0,2277,,0.0,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,traffic cone,57,1052,104,0.05418250950570342,0.5480769230769231,0.051865332120109194
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,trailer,0,5475,0,0.0,,0.0
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,truck,4097,5553,16239,0.7377993877183504,0.2522938604593879,0.23153433173212773
ovsam3d_sam_clip_eval_nuscenes_mini,unknown,False,,,True,sam,vegetation,12,12,16345,1.0,0.0007341694707861732,0.0007341694707861732
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,barrier,3565,20453,5072,0.1743020583777441,0.7028785488958991,0.16234061930783242
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,bicycle,0,0,10,,0.0,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,building,0,0,19685,,0.0,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,bus,0,0,8,,0.0,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,car,196,283,271,0.6925795053003534,0.7232472324723247,0.547486033519553
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,construction vehicle,0,737,32,0.0,0.0,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,pedestrian,864,10787,1558,0.08009641234819691,0.5545571245186136,0.07525476874836687
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,road,2067,4706,59005,0.43922651933701656,0.035030929582238794,0.03353124391668289
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,sidewalk,0,0,2277,,0.0,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,traffic cone,67,1972,104,0.03397565922920893,0.6442307692307693,0.03334992533598805
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,trailer,0,6725,0,0.0,,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,truck,4006,6706,16239,0.5973754846406203,0.24669006712235975,0.21152119964095253
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,box,vegetation,0,0,16345,,0.0,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,barrier,3456,12758,5072,0.2708888540523593,0.6813880126182965,0.24043411715597607
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,bicycle,0,0,10,,0.0,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,building,0,0,19685,,0.0,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,bus,0,0,8,,0.0,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,car,190,227,271,0.8370044052863436,0.7011070110701108,0.6168831168831169
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,construction vehicle,0,457,32,0.0,0.0,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,motorcycle,0,4,0,0.0,,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,pedestrian,774,6327,1558,0.12233285917496443,0.496790757381258,0.10884545071016735
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,road,1987,2928,59005,0.6786202185792349,0.03367511227862045,0.03314649851533046
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,sidewalk,0,0,2277,,0.0,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,traffic cone,57,1052,104,0.05418250950570342,0.5480769230769231,0.051865332120109194
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,trailer,0,5475,0,0.0,,0.0
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,truck,4097,5553,16239,0.7377993877183504,0.2522938604593879,0.23153433173212773
ovsam3d_ablation_hybrid_merge_person_nuscenes_mini,hybrid,True,0.12,0.06,True,sam,vegetation,12,12,16345,1.0,0.0007341694707861732,0.0007341694707861732
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,barrier,4900,18682,5072,0.26228455197516326,0.9660883280757098,0.2598918001485096
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,bicycle,0,1,10,0.0,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,building,0,0,19685,,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,bus,0,24,8,0.0,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,car,199,9710,271,0.020494335736354275,0.7343173431734318,0.020343488039255776
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,construction vehicle,0,0,32,,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,pedestrian,511,1051,1558,0.4862036156041865,0.32798459563543003,0.24356530028598666
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,road,0,0,59005,,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,sidewalk,0,0,2277,,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,traffic cone,67,305,104,0.21967213114754097,0.6442307692307693,0.195906432748538
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,trailer,0,5993,0,0.0,,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,truck,11479,16515,16239,0.6950650923402967,0.7068785023708356,0.5395534665099883
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,box,vegetation,0,0,16345,,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,barrier,4629,11778,5072,0.39302088639836985,0.9126577287066246,0.3787742410604697
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,bicycle,0,8,10,0.0,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,building,0,0,19685,,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,bus,0,53,8,0.0,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,car,189,6065,271,0.031162407254740312,0.6974169741697417,0.03074670571010249
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,construction vehicle,0,0,32,,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,pedestrian,780,1130,1558,0.6902654867256637,0.5006418485237484,0.4088050314465409
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,road,0,0,59005,,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,sidewalk,0,0,2277,,0.0,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,traffic cone,57,109,104,0.5229357798165137,0.5480769230769231,0.36538461538461536
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,trailer,0,2782,0,0.0,,0.0
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,truck,10471,12801,16239,0.8179829700804625,0.6448057146376008,0.5638968172761053
ovsam3d_ablation_owl_merge_person_nuscenes_mini,owl,True,0.12,0.06,True,sam,vegetation,0,0,16345,,0.0,0.0
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,barrier,3565,20645,5072,0.17268103657059822,0.7028785488958991,0.16093355001805706
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,bicycle,0,0,10,,0.0,0.0
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,building,0,0,19685,,0.0,0.0
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,bus,0,0,8,,0.0,0.0
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,car,196,282,271,0.6950354609929078,0.7232472324723247,0.5490196078431373
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,construction vehicle,0,737,32,0.0,0.0,0.0
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,pedestrian,864,10857,1558,0.0795799944736115,0.5545571245186136,0.07479871872565146
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,road,2067,4706,59005,0.43922651933701656,0.035030929582238794,0.03353124391668289
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,sidewalk,0,0,2277,,0.0,0.0
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,traffic cone,67,1972,104,0.03397565922920893,0.6442307692307693,0.03334992533598805
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,trailer,0,7033,0,0.0,,0.0
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,truck,3517,6137,16239,0.5730813100863614,0.2165773754541536,0.18648920939604433
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,box,vegetation,0,0,16345,,0.0,0.0
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sam,barrier,3456,12758,5072,0.2708888540523593,0.6813880126182965,0.24043411715597607
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sam,bicycle,0,0,10,,0.0,0.0
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sam,building,0,0,19685,,0.0,0.0
ovsam3d_ablation_clip_merge_person_nuscenes_mini,clip,True,0.12,0.06,True,sam,bus,0,0,8,,0.0,0.0
